Scientific Family,Display Name
Accipitridae,Hawk/Eagle/Kite sp.
Aegithalidae,Bushtit sp.
Alaudidae,Horned Lark
Alcedinidae,Kingfisher sp.
Alcidae,Auk/Murre/Puffin sp.
Anatidae,Waterfowl sp.
Anhingidae,Anhinga
Apodidae,Swift sp.
Aramidae,Limpkin
Ardeidae,Heron/Egret/Bittern sp.
Bombycillidae,Waxwing sp.
Calcariidae,Longspur/Bunting sp.
Caprimulgidae,Nightjar sp.
Cardinalidae,Cardinal/Grosbeak/Bunting sp.
Cathartidae,New World Vulture sp.
Certhiidae,Brown Creeper
Charadriidae,Plover sp.
Ciconiidae,Wood Stork
Cinclidae,American Dipper
Columbidae,Pigeon/Dove sp.
Corvidae,Corvid sp.
Cuculidae,Cuckoo/Roadrunner sp.
Estrildidae,Scaly-breasted Munia
Falconidae,Falcon/Caracara sp.
Fringillidae,Finch sp.
Gaviidae,Loon sp.
Gruidae,Crane sp.
Haematopodidae,Oystercatcher sp.
Hirundinidae,Swallow sp.
Hydrobatidae,Storm-Petrel sp.
Icteridae,Blackbird/Oriole sp.
Icteriidae,Chat sp.
Laniidae,Shrike sp.
Laridae,Gull/Tern/Skimmer sp.
Mimidae,Mockingbird/Thrasher sp.
Motacillidae,Pipit/Wagtail sp.
Odontophoridae,New World Quail sp.
Pandionidae,Osprey
Paradoxornithidae,Wrentit
Paridae,Titmouse/Chickadee sp.
Parulidae,Warbler sp.
Passerellidae,Sparrow sp.
Passeridae,Old World Sparrow sp.
Pelecanidae,Pelican sp.
Phalacrocoracidae,Cormorant sp.
Phasianidae,Grouse/Pheasant sp.
Picidae,Woodpecker sp.
Podicipedidae,Grebe sp.
Polioptilidae,Gnatcatcher sp.
Procellariidae,Shearwater/Petrel sp.
Psittacidae,Parrot sp.
Ptilogonatidae,Phainopepla
Rallidae,Rail/Gallinule/Coot sp.
Recurvirostridae,Stilt/Avocet sp.
Regulidae,Kinglet sp.
Remizidae,Verdin
Scolopacidae,Sandpiper sp.
Sittidae,Nuthatch sp.
Stercorariidae,Jaeger/Skua sp.
Strigidae,Owl sp.
Sturnidae,Starling/Myna sp.
Sulidae,Gannet/Booby sp.
Threskiornithidae,Ibis/Spoonbill sp.
Trochilidae,Hummingbird sp.
Troglodytidae,Wren sp.
Turdidae,Thrush sp.
Tyrannidae,Flycatcher sp.
Tytonidae,Barn Owl
Vireonidae,Vireo sp.
